corp_nm,detail
㈜위메프,                                [개발]E-Commerce 데이터 엔지니어/NLP개발자(정규직)                            
㈜휴넷,                                2020년 ㈜휴넷 데이터엔지니어 경력직 모집                            
㈜엔씨소프트,                                [엔씨소프트] [AI R&D] 데이터 엔지니어 수시 모집                            
주식회사 여기어때컴퍼니,                                [여기어때] 데이터 엔지니어 (DBA/DW구축) 채용                            
카페24㈜,                                [데이터아키텍트팀] 데이터아키텍트(DA) 모집                            
카카오페이,                                [카카오페이] 데이터 엔지니어 영입                            
㈜GS리테일,"                                GS리테일 전문 분야 상시 모집 (IT,데이터)                            "
에프알엘코리아,                                EC 팀 Data Analytics (데이터 분석가) 모집                            
라인게임즈㈜,                                [라인게임즈] 데이터분석가(마케팅/게임) 모집                            
㈜쿡앱스,                                [쿡앱스] 게임 데이터 분석가 채용                            
보맵 주식회사,                                [빅데이터랩] 데이터 분석가 모집                            
띵스파이어,                                주니어/시니어 머신러닝 개발자(DL/ML 기반 데이터 분석 및 예측 기술개발)                            
카페24㈜,                                [데이터그룹] 데이터 분석 담당자 모집                            
줌인터넷㈜,                                [수시] ZUM 데이터 분석(경력)                            
카페24㈜,                                [데이터파이프라인팀] 대용량 데이터 플랫폼 개발자 모집                            
㈜비아이씨엔에스,                                [정규직] AWS 데이터 레이크 구축 개발자 모집                            
㈜이씨마이너,                                빅데이터분석/AI 솔루션 개발 - 신입/경력 모집                            
㈜인피닉,                                [경력/가산] AI 학습 데이터 수집 및 운영(관리)                            
한국아이큐비아㈜,                                [외국계 헬스케어 기업] 데이터 분석가 (과/차장급)                            
베스핀글로벌㈜,                                Cloud Security Service 개발-데이터처리 (경력 5년 이상)                            
㈜데이터위버,                                [정규][프리]HSQL하둡 데이터마트 구축                            
㈜써티웨어,                                Bigdata 운영 및 Hadoop 개발 경력자 모집(데이터사업)                            
㈜엔시스템,"데이터 프로세싱 (DW, Hadoop) 개발자 [SK플래닛 빅데이터 시스템 운영 - 경기 분당 판교]                            "
쿠팡 주식회사,                                [쿠팡이츠] 데이터 분석가 신입/경력직 채용                            
㈜디앤에스에버,데이터 분석 / 비즈니스 데이터 분석 채용                            
굿모니터링,데이터 수집처리/사업운영보조                            
쿠팡 주식회사,                                [쿠팡] 데이터 분석/엔지니어 경력직 채용                            
쿠팡 주식회사,                                [쿠팡] 데이터 사이언티스트 경력직 채용                            
㈜웰숲,                                [(주)웰숲] 서비스 운영기획/데이터 관리 경력자 채용                            
메이븐코리아㈜,"                                [MAVEN] 데이터모델링, 데이터시각화 개발자 모집                            "
㈜한국정보기술단,데이터표준품질부문 경력직 모집 (정규직)                            
스파이더랩,                                [우리집은 도서관] 데이터 분석가                            
에이치앤티어세스,                                화장품 회사 데이터 사이언티스트                            
㈜더기프팅컴퍼니,"                                [경력] 데이터 엔지니어/데이터 사이언티스트 (산업기능요원 가능/전직,보충역)                            "
㈜에이랩,                                대기업 계열사 연구소 IOT 데이터 분석 기획 APP 개발 외 다수 포지션                            
㈜지인시스템,                                [SW경력직 채용] 빅데이터/데이터 스트리밍/Web GIS 개발                            
엔에이치엔㈜,                                [NHN] 데이터 사이언스 및 엔지니어링 경력 채용                            
주식회사 올룰로,                                [올룰로 / 킥고잉] 데이터개발팀 리더 채용(개발자 / 데이터 / SQL / Python / PHP / Javascript)                            
한국 스마트 데이터,데이터 분석가 신입/경력 채용                            
퍼즐데이터,                                퍼즐데이터 서비스 기획자(Product manager) 채용                            
빅스데이터㈜,데이터 분석 및 시각화 /w BI 전문개발자/컨설턴트                            
에이치알니즈,                                유명대기업) 데이터엔지니어 경력 채용(5년이상                            
㈜유저해빗,                                백엔드 개발자 (데이터 엔지니어) Senior                            
㈜스캐터엑스,데이터 사이언티스트를  모십니다.                            
㈜써티웨어,                                WebSquare 개발자 모집(데이터사업)                            
라인파이낸셜플러스㈜,                                [LINE FINANCIAL] Fintech 데이터 분석 전문가 (Data Scientist)                            
노티플러스,                                뉴스픽 전략 및 데이터 분석                            
㈜엔브레인,                                AI헬스케어 기업 의료데이터 시각화/분석가/ 경력 모집                            
㈜엘비코리아,"                                ASR Project Manager, Data suppliers of leading speech recognition, 데이터레이블링                            "
㈜어센트코리아,                                어센트코리아 기업부설연구소 / 데이터 수집 플랫폼 개발자 모집                            
데이터스㈜,                                클라우드/데이터 엔지니어 채용                            
㈜엑심베이,데이터 관리 RM (Risk Management)                            
TIS정보기술교육센터,"                                [강사 채용]주말반 강의(Python, R, 빅데이터분석)                            "
㈜이투온,                                빅데이터 / 인공지능 데이터 분석가 모십니다.                            
㈜엔브레인,                                (빅데이터) 생체신호처리 및 의료 데이터를 이용한 머신러닝 기반 질병예측 머신러닝엔지니어를 모집합니다.                            
