corp_nm,job_title
마이리얼트립(주),검색 소프트웨어 엔지니어
마이리얼트립(주),추천 소프트웨어 엔지니어
(주)베이글코드,데이터 엔지니어 / Data Engineer
(주)한국신용데이터,Data Engineer
마이리얼트립(주),Database Engineer
버즈빌(주),데이터 엔지니어 Data Engineer (신입/경력)
넷마블(주),[AI/데이터분석] 데이터 분석
(주)중고나라,[중고나라] 데이터매니지먼트 리더 부문 채용
(주)매스프레소,Data Analyst
(주)중고나라,[중고나라] 데이터랩 리더 채용
마이리얼트립(주),데이터 분석 매니저
(주)베이글코드,데이터 사이언티스트 / Data Scientist
(주)플래티어,데이터 엔지니어
피엑스디,Data Scientist
(주)매스프레소,Data Engineer
보맵(주),[빅데이터랩] 데이터 분석가 모집
(주)메쉬코리아,플랫폼본부 - Data Scientist
(주)에이블리코퍼레이션,[데이터팀] Business Data Analyst (리드)
(주)버킷플레이스,Sr. Data Engineer
코난테크놀로지(주),데이터 엔지니어
핀다,데이터 사이언스 팀 리드
핀다,Data Scientist
리디(주),데이터 엔지니어
(주)케이티넥스알,Data Architect
네이버(주),금융/페이 데이터 분석 담당자
(주)스마일게이트홀딩스,[재무] 게임 데이터분석 담당
(주)메쉬코리아,플랫폼본부 - Senior Data Engineer
(주)메쉬코리아,플랫폼본부 - Lead Data Scientist
(주)중고나라,[중고나라] 데이터 사이언티스트 전문가 채용
(주)베이글코드,데이터 분석가 / Business Analyst
(주)버즈니,[데이터 플랫폼]데이터 엔지니어 (전문연구요원 가능)
(주)비아이매트릭스,데이터분석 솔루션 개발자(python) 채용
중앙일보(주),개발 / 데이터 엔지니어
엘지디스플레이(주),AI/빅데이터 분야 (석/박사) - AI/Big Data/최적화 알고리즘 (실무)
더쿠스아이앤씨,데이터 엔지니어
(주)교원,스마트테크부문 - Data Scientist
(주)디다이브,Data Analyst
(주)메쉬코리아,플랫폼본부 - Senior AI Data Scientist
(주)디홀릭커머스,GA 데이터 분석가
(주)브레이브모바일,[잡플래닛 매칭] Data Scientist
(주)애드이피션시,Data Scientist
스캐터랩,그로스 데이터 분석가
매드업(주),[테크사업부] 데이터 사이언티스트 리드(전문연구요원 복무 가능)
중앙일보(주),개발 / 데이터 분석/개발
(주)밸런스히어로,DATA SCIENTIST
(주)디홀릭커머스,빅데이터 기반 서비스 기획자
(주)피처링,DATA SCIENCE
(주)브레이브모바일,[잡플래닛 매칭] Business Data Analyst
세가퍼블리싱코리아,선수 데이터 제작
(주)디다이브,Big Data Engineer
(주)엘지하우시스,"데이터 분석 (로그분석, 고객 추이분석)"
(주)아프리카티비,데이터기반 서비스 제작 및 엔지니어링
한국전자인증(주),Data Center
(주)게임빌컴투스플랫폼,데이터베이스관리자
잡플래닛 매칭서비스,국내 대표 핀테크 스타트업 기업 - 데이터 사이언스
(주)브랜디,데이터 엔지니어
잡플래닛 매칭서비스,포털 NO.1 금융 - 금융/페이 데이터분석
(주)쿡앱스,[쿡앱스]게임 데이터 분석가
(주)버킷플레이스,물류배송 기획 및 데이터 분석 매니저
요기요,[Sr.Specialist] 예측마케팅 (Marketing Data Engineer)
(주)게임빌컴투스플랫폼,데이터센터 엔지니어
(주)아프리카티비,데이터 분석 및 지표 구축
에스케이(주) C&C,SK Hi-Tech AI 기반 데이터 분석 플랫폼 구축 설계/개발자
잡플래닛 매칭서비스,1등 포털기업 자회사 - Data Analyst 채용
잡플래닛 매칭서비스,국내 대기업 계열 화장품 제조 - Data Scientist (추천시스템 전략)
(주)밸런스히어로,DATA ENGINEER
솔라커넥트(주),데이터 인프라 엔지니어
현대무벡스(주),[IT} 클라우드 Data Analytics
오픈메이드컨설팅(주),Data Modeller
잡플래닛 매칭서비스,AI 스타트업 - 데이터 운영 기획
잡플래닛 매칭서비스,금융 포털 NO.1 - AML 데이터분석/모델링 전문가
솔라커넥트(주),데이터 사이언티스트
(주)커스토머인사이트,Big Data 분석 컨설턴트
(주)마켓디자이너스,[잡플래닛 매칭] [위매치]데이터 엔지니어
이투스교육(주),[본사] DX혁신부문 Tech Lab Senior Machine Learning & AI(Data professional)
(주)카카오페이,[카카오페이] 마이데이터 기반 자산관리 서비스 프로덕트 매니저 영입
(주)에일론,빅데이터
(주)스마일게이트스토브,[잡플래닛 매칭] [BI] Hadoop/Spark 기반 대용량 데이터 처리 담당
드림미즈(주),[R&D 연구개발] ICT 및 AI & 빅데이터
리서치애드(주),데이터분석본부
에이비에스컨설팅(주),데이터 모델러
네이버(주),[Search] Knowledge Base Applications
보맵(주),[기획실] 서비스 기획자 모집
(주)메쉬코리아,플랫폼본부 - AI/ML Engineer
이투스교육(주),[본사] DX혁신부문 Tech Lab Junior Database Administrator(경력)
이투스교육(주),[본사] DX혁신부문 Tech Lab Junior Database Administrator(신입)
잡플래닛 매칭서비스,Global FMCG Company - ePersonalization & A/B Test Specialist
쿠팡(주),Tech Business Analyst (Customer Experience Product)
조이시티(주),DBA
잡플래닛 매칭서비스,강남에 있는 중견 게임사입니다. - DW 엔지니어
(주)커리어포커스,AI 개발자 채용 - 2020112005
잡플래닛 매칭서비스,외국 주류 회사 - POC Insight Program Sr. Manager
(주)케이티,2020년 경력직 - IoT Inteligence 기술 개발
(주)지에스아이티엠,분석시스템 개발
에스제이엠앤씨(주),[잡플래닛 매칭] 웹개발자(React.js)
(주)카카오페이,[카카오페이] 주식매매 서비스 담당 프로덕트 매니저 영입
흥국화재해상보험(주),[잡플래닛 매칭] AI전문가
(주)밸런스히어로,BUSINESS ANALYST
(유)미소,"Category Manager, Moving"
솔트룩스(주),인공지능(AI) 전문기업 솔트룩스 - JAVA개발자
엠아이큐브솔루션(주),R&D연구원(AI)
잡플래닛 매칭서비스,대기업계열 부동산개발기업 - SAP운영(정규직1명)
오픈메이드컨설팅(주),DA Consultant
지식시스템(주),통계/Analytics
(주)코어플러스,컨설팅 사업부/ BI
노스스타컨설팅(주),사업개발팀
(주)마크베이스,R&D / DBMS
인우기술(주),DB 프로그램 개발자
(주)뷰노,생체신호 연구원
더쿠스아이앤씨,Product Manager (서비스기획)
바이오에이아이,딥러닝 개발
오브젠(주),Solution Service 본부
(주)루닛,Research Scientist
아이픽셀(주),AI Computer Vision Developer
(주)노타,"SW Engineer (Regular, Intern)"
(주)마크베이스,R&D / Utility
(주)에스알유니버스,딥러닝 개발자 generative model이용 머신러닝 사용 개발자 모집
모비스(주),인공지능
리디(주),추천 엔지니어
(주)티몬,추천 시스템 개발자
