corp_nm,detail
쿠팡 주식회사,[쿠팡] Business Data Analyst (비즈니스 데이터 분석) 경력자
네이버시스템(주),데이터 분석가 Data Scientist 경력자 모집
(주)비스텔,[비스텔] AI/빅데이터-Data Scientist 연구개발 (병역특례 가능)
(주)록스,"(경력) AI 연구원, 빅데이터 연구원 채용"
(주)한국정보공작소,[기업부설연구소] AI 빅데이터 분야 정규직 전문연구원 모집
(주)브릭,데이터분석가(이론위주 연구) 채용
쿠팡 주식회사,[쿠팡] 데이터 분석/엔지니어 경력직 채용
(주)인라이플,[업계1위/최강복지] 빅데이터 분석 및 기획 부문 경력직 채용
(주)인라이플,[업계1위/최강복지] Python / 빅데이터 / AI 개발 직무 인재채용
보맵 주식회사,[빅데이터랩] 데이터 분석가 모집
(주)마크베이스,데이터베이스 소프트웨어 웹 개발자 모집 (신입)
한국표준협회,2020년 5차 정규직원(데이터전문가) 채용
(주)데이터스트림즈,빅데이터 SW개발 및 전문인력 채용
(주)컨셉터스,빅데이터플랫폼 경력직 분야별[개발/디자인/마케팅/총무] 채용
(주)유니콤넷,인공지능(AI)·빅데이터R&D-정부과제 수행 채용(경력 무관)
어니컴㈜,[어니컴(주)] 빅데이터 분석/SW개발/알고리즘개발 모집(경력무관
디앤아이 컨설팅㈜,빅데이터 분석(머신러닝/딥러닝) 컨설턴트 정규직 채용
(주)사람인에이치알,[사람인LAB] 빅데이터 플랫폼 엔지니어 채용
(주)스튜디오갈릴레이,"Python, 교통, 통계, 빅데이터 연구원채용(신입/경력)"
(주)이팝콘,[DS/DA팀] 이커머스 데이터 분석가(신입)
한국 스마트 데이터,[상시모집] KOS DATA 데이터 분석가 신입/경력 모집
(주)마크클라우드,데이터 분석 및 사업 기획 신규/경력직 모집
(주)밀버스,[MILVUS]빅데이터분석 마케팅(신입/경력)
(주)웨다,인공지능(AI)·빅데이터(머신러닝 외 4개 부문) 채용 공고
(주)더블유게임즈,데이터분석 담당자 채용 (신입/경력)
(주)서울의료정보연구소,"데이터 기획 및 마케팅, 데이터 분석, 개발자 모집"
(주)오피니언라이브,빅데이터분석 및 경영지원 경력무관 모집합니다(정규직)
(주)카이어,"딥러닝 머신비전, 빅데이터 연구원 채용 (양재 근무)"
에프알엘코리아(주),EC 팀 Data Analytics (데이터 분석가) 모집
코나아이(주),[코나아이] 데이터 전문인력 채용
(주)바디프랜드,바디프랜드 데이터 분석가(Data Analyst) 모집
라온피플(주),AI응용소프트웨어 개발/빅데이터 프레임워크 운영 및 개발
(주)케이뱅크은행,빅데이터 시스템 개발 담당자 채용
(주)헤리트,에너지서비스 AI/빅데이터 개발자 모집 (병역특례 가능)
㈜인피닉,[경력/가산] AI 학습 데이터 수집 및 운영(관리)
넷마블에프앤씨(주),[넷마블에프앤씨] (구) 넷마블펀 게임 지표파트 데이터 분석가
(주)가이온,[가이온] 빅데이터/AI 관련 업무 신입/경력 채용
