corp_nm,job_title
다비오(Dabeeo),"공간정보(GIS) 설계, 구축"
딜리버리히어로 코리아 (Delivery Hero Korea),검색/추천 ML Engineer
라이트비전,컴퓨터비전분야 엔지니어
루닛(Lunit),Frontend Engineer(AI Platform)
토르드라이브,Computer Vision Engineer
토르드라이브,Control Engineer
토르드라이브,Localization Engineer
더비타,머신러닝 엔지니어 (Machine Learning Engineer)
자이냅스,[음성합성팀] 음성합성(머신러닝) 주니어/시니어 개발자
롯데e커머스,이커머스 검색개발
보이스루,AI 리서치 엔지니어
에이모(AIMMO),Machine Learning Engineer
자이냅스,[데이터팀] 데이터 분석가/사이언티스트
파운트(fount),Backend/Data Engineer
브이로거(Vlogr),Python 개발자
펍지(PUBG),Deep Learning Research Engineer - NLP
블루닷,딥러닝 알고리즘 엔지니어
스페이스워크,머신러닝 엔지니어 [산업기능/전문연구요원 편입/전직 가능]
스페이스워크,ML Engineering Mananger (ML 팀장)
줌인터넷(zum),ZUM 데이터 엔지니어
인터마인즈,R&D Deep Learning S/W Engineer
트릿지,Software Engineer Data
휴이노,딥러닝 연구원(데이터 사이언티스트)
씨젠(Seegene),온라인플랫폼 SW개발자 (과장)
씨젠(Seegene),AI/Data Scientist (신입-대리)
씨젠(Seegene),Sr. AI/Data Scientist (과장-부장)
씨젠(Seegene),AI플랫폼 팀장 (차장-부장)
라인웍스,Machine Learning Engineer
가우디오랩,Audio-AI Scientist
어센트코리아(Ascent Korea),기업부설연구소 데이터 수집 플랫폼 개발자
유펜솔루션(스파이더킴),머신러닝 개발자
아이겐코리아,Data Scientist
어센트코리아(Ascent Korea),기업부설연구소 자연어처리(NLP) 개발자
밸런스히어로 (트루밸런스),Data Engineer
넥슨코리아(NEXON),[인텔리전스랩스] 경험최적화 머신러닝 엔지니어
굿닥(goodoc),Data Scientist
이마고웍스,딥러닝 기반 의료영상 이미지 처리 모듈 및 알고리즘 개발
이마고웍스,딥러닝 기반 폴리곤 메쉬 프로세싱 모듈 및 알고리즘 개발
루닛(Lunit),AI Platform Backend Engineer
캐롯손해보험,머신러닝 개발 및 데이터 분석
Sendbird(센드버드),"Software Engineer, Data Platform"
두에이아이,AI 엔지니어 Medical Image (전문연구요원가능)
하나금융티아이,[하나금융융합기술원] NLP(자연어처리) / Text Mining / IR / KE분야 연구원(3년 이상)
알고리마,"Software Engineer, Machine Learning (전문연구요원/산업기능요원 보충역 지원가능)"
보로노이,인공지능 연구원
매드업,[테크사업부] 데이터 사이언티스트(전문연구요원 복무 가능)
제노플랜코리아,[DS] 생물정보 분석 전문가
우아한형제들(배달의민족),[배달로봇 dilly]로봇 소프트웨어 개발자(자율주행)
웰리시스,AI 개발자
옴니어스(OMNIOUS),머신러닝 엔지니어
올룰로(olulo),[킥고잉] 데이터개발팀 리더
레이니스트(뱅크샐러드),Senior Machine Learning Engineer (Data Foundation)
플라스크,Machine Learning Engineer(Computer Vision)
액션파워,"인공지능, 머신러닝 개발자"
윌러스표준기술연구소,차세대 비디오 코덱 표준개발 연구원 (전문연구요원 포함)
"펀엔씨(강아지대통령,고양이대통령)",데이터 엔지니어
비바리퍼블리카(토스),[토스페이먼츠팀] Data Engineer
비바리퍼블리카(토스),[토스팀] Data Engineer
비바리퍼블리카(토스),[토스팀] Data Scientist
비바리퍼블리카(토스),[토스뱅크팀] Data Scientist (CSS 모델러)
셰어라운드,데이터 엔지니어
아우름플래닛(LINER),AI Engineer(NLP)
루닛(Lunit),Research Engineer
두손컴퍼니,"데이터 및 AI 엔지니어 / Data, AI Engineer"
휴넷,AI R&D(머신러닝 및 딥러닝 연구개발)
스켈터랩스,Software Engineer
알세미,딥러닝 Research Engineer
데이터비,자동영문교정 알고리즘 개발
룰루랩(lululab),AI 알고리즘 신입 (전문연구요원)
뉴로핏(NEUROPHET),의료영상 인공지능 엔지니어
원티드랩,머신러닝 리서치 사이언티스트
스누아이랩,Vision-AI 기술 개발
올리브유니온(OliveUnion),머신러닝 엔지니어
로민,컴퓨터비전 개발자 (전문연구요원 가능)
머지리티,[비즈니스본부] Machine Learning
코핀커뮤니케이션즈,인공지능 웹툰 제작 시스템 개발 연구원
버즈니(Buzzni),[AI Lab] AI 백엔드 엔지니어 (전문연구요원 가능)
야놀자Tech(R&D),[Search팀] Machine Learning Engineer
다비오(Dabeeo),모바일 개발자
테라아크,"인공지능, 머신러닝 엔지니어"
코그넥스코리아,Sr. Software Engineer
휴레이포지티브,머신러닝 개발자
오드컨셉,Deep Learning Engineer/Researcher
엔젤스윙,Research Engineer Deep Learning
네오사피엔스(Neosapience),머신러닝 연구원 자연어처리
네오사피엔스(Neosapience),머신러닝 연구원 음성 및 오디오 처리
플래티어,데이터 사이언티스트
고위드,머신러닝 엔지니어
알티엠,데이터 사이언티스트(Data Scientist)
뤼이드(Riiid),Machine Learning Engineer
파운트(fount),AI Engineer
아이스크림에듀,"[지능정보기술연구소 AI연구실] 머신러닝, 딥러닝 연구/개발"
큐픽스,[전문연구요원] 컴퓨터비전/딥러닝/SLAM (2년/석사신입)
고위드,데이터 엔지니어
아퀴스코리아,Quantitative Developer
딥핑소스,딥러닝 엔지니어
밸런스히어로 (트루밸런스),Data Scientist
데일리블록체인,AI 기반 SW 개발자
피트릭스,Deep Learning/Machine Learning 기반 영상처리 개발자
퀀텀인텔리전스,Python Programmer (AI)
아이픽셀(iPIXEL),인공지능 컴퓨터비전 개발자
어니컴,머신러닝 엔지니어
코드스테이츠 (CodeStates),Junior Data Engineer
팜캐드,"AI, 딥러닝 개발자"
넷마블,Machine Learning 엔지니어
플래티어,데이터 엔지니어
에이블리코퍼레이션,머신러닝 엔지니어
펀드블록글로벌,Lead Quantitative Analyst / Data Scientist / Data Analyst
테서,AI Engineer : 헬스케어 데이터 기반
셀렉트스타,크라우드소싱 기술 연구원
휴톰,AI SW engineer
쿠돈,AI 엔지니어 (Computer Vision)
비스텔,AI/빅데이터-Data Scientist 연구개발 (신입가능)
투블럭에이아이,AI 자연어처리 관련 서비스 개발
두나무(업비트/증권플러스),데이터밸류팀
뤼이드(Riiid),Research Scientist (산업기능요원/전문연구요원 복무 가능)
투블럭에이아이,Deep NLP & RPAi 개발리더
넥슨코리아(NEXON),[인텔리전스랩스] 머신러닝 개발
엑스브레인(XBRAIN),Machine Learning Engineer
엑스브레인(XBRAIN),MLOps Engineer
재이랩스,컴퓨터 비전 연구원 / Deep Learning
우아한형제들(배달의민족),데이터 과학자 (3년 이상)
코드스테이츠 (CodeStates),Data Scientist
쿠팡,"Sr. Manager, Back-end Engineering (Query Understanding)"
쿠팡,Sr. Back-end Engineer(Query Understanding)
카카오모빌리티(KakaoMobility),R&D 퍼셉션 엔지니어
버즈빌(buzzvil),Machine Learning Engineer
투디지트,인공지능 전문가
에이아이트릭스(AITRICS),Medical AI Senior Researcher (의료인공지능)
카카오모빌리티(KakaoMobility),Machine Learning 엔지니어
온코크로스,SW 개발자
오케스트로,인공지능(AI) 팀
애니펜,비전 기반 딥러닝 개발자
메쉬코리아(부릉),AI/ML Engineer
아모레퍼시픽(AMOREPACIFIC),그로스 해커 & 데이터 분석가
데이블(Dable),Software Engineer Senior
라이더대시코리아,서버 개발자: 챗봇
다비오(Dabeeo),딥러닝 엔지니어 (Earth EYE 팀 - 인공위성 이미지 분석)
더블미코리아,딥러닝 & 컴퓨터 비젼 개발 엔지니어
브이터치(VTouch),"Computer vision, AI 머신러닝 연구원"
마키나락스,Software Engineer - Machine Learning Platform
서울로보틱스,Research Engineer - Machine Learning
이투스교육,Senior Machine Learning & AI (Data professional)
이투스교육,검색 엔지니어 (Data Professional)
하이퍼커넥트,Machine Learning Research Scientist
하이퍼커넥트,Machine Learning Engineer
머니브레인,[인공지능 기업]머신러닝/딥러닝 엔지니어
넷마블,AI엔지니어 (NLP 개발자)
펍지(PUBG),Software Engineer - Machine Learning Platform
넷마블,데이터 분석
위밋,빅데이터 / 머신러닝 / 인공지능 전문가
인공지능연구원,딥러닝 기반 얼굴 모션 추출 기술 연구 개발
인공지능연구원,딥러닝 기반 바디 모션 추출 기술 연구 개발
다비오(Dabeeo),융합기술센터 Leader
디다이브,Big Data Engineer
디다이브,Data Analyst
쿠팡,[Coupang Tech] Principle Business Analyst
버킷플레이스(오늘의집),Data Engineer/Scientist Lead (데이터 엔지니어/사이언티스트 리드)
발란(BALAAN),데이터 엔지니어 (신입가능)
더비타,CDO ( Chief Data Officer )
유펜솔루션(스파이더킴),백엔드 개발자
와이즐리,데이터 분석가 (Data Analyst)
더블유컨셉코리아(wconcept),"[검색&데이터 개발팀]자연어처리 (NLP, 텍스트마이닝, 검색) 개발자"
"브레이브모바일(숨고,Soomgo)",Data Scientist
비엔엑스(beNX),데이터엔지니어 Jr.
아모레퍼시픽(AMOREPACIFIC),Data Scientist (추천시스템 전략)
하나투어,DBA
에프에스에스(FSS),DBA
코코네,데이터 분석가
루닛(Lunit),Biomedical Data Scientist
마이셀럽스,NLP 자연어처리 데이터 사이언티스트
마이셀럽스,데이터 시각화 개발자
트릿지,Software Engineer Infrastructure
클래스101(Class101),Data Scientist
자비스앤빌런즈,데이터 엔지니어
슈가힐(네모),데이터 엔지니어링 (Data Engineering)
티맵모빌리티(SKT자회사),"[교통정보, 경로(길안내), 맵] 데이터 구축/기획/운영자"
더기프팅컴퍼니,데이터 엔지니어 (산업기능요원 가능/전직·보충역)
더기프팅컴퍼니,데이터 사이언티스트 (산업기능요원 가능/전직·보충역)
밸런스히어로 (트루밸런스),Data Group Head
쏘카(SOCAR),[타다] 데이터 분석가/사이언티스트
쿠팡,"Principal, Data Scientist (Fresh Process)"
어센트코리아(Ascent Korea),Data Marketing Director
보맵,데이터 분석가
텀블벅(Tumblbug),데이터 엔지니어
토니모리,데이터 사이언티스트
번개장터,Data Scientist
번개장터,Data Engineer
넥슨코리아(NEXON),[인텔리전스랩스] 경험최적화 데이터 사이언티스트/분석가
메이븐클라우드서비스,데이터 모델링
아이케이오,퍼포먼스 마케터 및 데이터분석
Sendbird(센드버드),Cloud Database Engineer
중고나라,검색엔진 개발 전문가
중고나라,데이터 사이언티스트 전문가
테스트웍스,AI Data Manager(DM)
